volume,section_id,section_title,stanza_no,categories,strong_terms,weak_terms,text,source_url,label,science_concept,notes
1,T156,001. திருவடிப் புகழ்ச்சி,6,light_physics,light_physics:கிரண,,பரமபோ தம்போத ரகிதசகி தம்சம்ப வாதீத மப்பிரமேயம் / பகரனந் தானந்தம் அமலமுசி தம்சிற்ப தம்சதா னந்தசாரம் / பரையாதி கிரணாங்க சாங்கசௌ பாங்கவிம் பாகார நிருவிகற்பம் / பரசுகா ரம்பம்ப ரம்பிரம வித்தம்ப ரானந்த புரணபோகம்,https://www.thiruarutpa.org/thirumurai/v/T156/tm/thiruvatip_pukazssi,N,,silver-unverified
1,T156,001. திருவடிப் புகழ்ச்சி,10,sun_moon_stars,sun_moon_stars:சந்திர,,சாமகீ தப்பிரியன் மணிகண்ட சீகண்ட சசிகண்ட சாமகண்ட / சயசய வெனுந்தொண்ட ரிதயமலர் மேவிய சடாமகுடன் மதனதகனன் / சந்திரசே கரனிடப வாகனன் கங்கா தரன்சூல பாணியிறைவன் / தனிமுத லுமாபதி புராந்தகன் பசுபதி சயம்புமா தேவனமலன்,https://www.thiruarutpa.org/thirumurai/v/T156/tm/thiruvatip_pukazssi,N,,silver-unverified
1,T157,002. விண்ணப்பக் கலிவெண்பா,364,space_elements,space_elements:வாயு,,மந்திரத்தை உச்சரியா வாயுடையேன் என்போலத் / தந்திரத்தில் கைதேர்ந் தவரில்லை - எந்தைஇனி,https://www.thiruarutpa.org/thirumurai/v/T157/tm/vinnappak_kalivenpaa,N,,silver-unverified
1,T158,003. நெஞ்சறிவுறுத்தல்,16,cosmos,cosmos:அண்ட,,அண்டமாய் அண்டத் தணுவாய் அருளகண்டா / கண்டமாய் ஆனந்தா காரமதாய் - அண்டத்தின்,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,A,mystic-cosmological statement (unverified),silver-unverified
1,T158,003. நெஞ்சறிவுறுத்தல்,60,cosmos|atom_smallest,"cosmos:அண்டங்க,அண்ட ; atom_smallest:அணுவ",,அண்டங்கள் எல்லாம் அணுவில் அடைத்தருளித் / திண்டங்கு மாறிருத்தும் சித்தனெவன் - பண்டங்கு,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,A,macro-in-micro: all universes enclosed within an atom,silver-unverified
1,T158,003. நெஞ்சறிவுறுத்தல்,61,cosmos,cosmos:அண்ட,,வீயாச் சிறுபெண் விளையாட்டுள் அண்டமெலாம் / தேயாது கூட்டுவிக்கும் சித்தனெவன் - யாயாதும்,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,M,,silver-unverified
1,T158,003. நெஞ்சறிவுறுத்தல்,73,cosmos,cosmos:அண்ட,,மெய்வைத்த வேர்வையினும் வீழ்நிலத்தும் அண்டத்தும் / செய்வித்தங் கூட்டுவிக்கும் சித்தனெவன் - உய்விக்கும்,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,M,,silver-unverified
1,T158,003. நெஞ்சறிவுறுத்தல்,117,cosmos,cosmos:அண்ட,,தாம்வாழ அண்ட சராசரங்கள் தாம்வாழ / நாம்வாழத் தன்னுரையாம் நான்மறைகள் - தாம்வாழச்,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,M,,silver-unverified
1,T158,003. நெஞ்சறிவுறுத்தல்,137,cosmos,cosmos:உலகங்கள்,,தங்கும் உலகங்கள் சாயாமற் செஞ்சடைமேல் / கங்கைதனைச் சேர்த்த கடவுளெவன் - எங்குறினும்,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,M,,silver-unverified
1,T158,003. நெஞ்சறிவுறுத்தல்,208,sun_moon_stars,sun_moon_stars:திங்கள்,,கங்கைச் சடையழகும் காதன்மிகும் அச்சடைமேல் / திங்கட் கொழுந்தின் திருவழகும் - திங்கள்தன்மேல்,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,M,,silver-unverified
