rank,sim,volume,section_id,section_title,stanza_no,text,source_url,label,notes
1,0.961,6,T292,037. அருள்விளக்க மாலை,36,விளங்குபர சத்திகளின் பரமாதி அவற்றுள் / விரிந்தநிலை யாதிஎலாம் விளங்கிஒளி வழங்கிக் / களங்கமிலாப் பரவெளியில் அந்தம்முதல் நடுத்தான் / காட்டாதே நிறைந்தெங்கும் கலந்திடும்பே ரொளியே / உளங்குலவு பரசத்தி உலகமண்ட முழுதும் / ஒளிவிளங்கச் சுடர்பரப்பி ஓங்குதனிச் சுடரே / வளங்குலவு திருப்பொதுவில் மாநடஞ்செய் அரசே / மகிழ்ந்தெனது சொல்எனும்ஓர் மாலைஅணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,A,silver-unverified; space with no beginning/middle/end
2,0.960,2,T58,068. அச்சத் திரங்கல்,3,பொருள்எலாம் புணர்க்கும் புண்ணியப் பொருளே / புத்தமு தேகுணப் பொருப்பே / இருள்எலாம் அறுக்கும் பேரொளிப் பிழம்பே / இன்பமே என்பெருந் துணையே / அருள்எலாம் திரண்ட ஒருசிவ மூர்த்தி / அண்ணலே நின்அடிக் கபயம் / மருள்எலாம் கொண்ட மனத்தினேன் துன்ப / மயக்கெலாம் மாற்றிஆண் டருளே.,https://www.thiruarutpa.org/thirumurai/v/T58/tm/assath_thirangkal,M,silver-unverified; generic devotion (light/grace)
3,0.960,1,T160,005. மகாதேவ மாலை,37,அளவையெலாங் கடந்துமனங் கடந்து மற்றை / அறிவையெலாங் கடந்துகடந் தமல யோகர் / உளவையெலாங் கடந்துபதங் கடந்து மேலை / ஒன்றுகடந் திரண்டுகடந் துணரச் சூழ்ந்த / களவையெலாங் கடந்தண்ட பிண்ட மெல்லாம் / கடந்துநிறை வானசுகக் கடலே அன்பர் / வளவையெலாம் இருளகற்றும் ஒளியே மோன / வாழ்வேஎன் உயிர்க்குயிராய் வதியும் தேவே.,https://www.thiruarutpa.org/thirumurai/v/T160/tm/makaatheeva_maalai,M,silver-unverified; generic devotion (light/grace)
4,0.960,6,T292,037. அருள்விளக்க மாலை,83,உண்ணுகின்ற ஊண்வெறுத்து வற்றியும்புற் றெழுந்தும் / ஒருகோடிப் பெருந்தலைவர் ஆங்காங்கே வருந்திப் / பண்ணுகின்ற பெருந்தவத்தும் கிடைப்பரிதாய்ச் சிறிய / பயல்களினும் சிறியேற்குக் கிடைத்தபெரும் பதியே / நண்ணுகின்ற பெருங்கருணை அமுதளித்தென் உளத்தே / நானாகித் தானாகி அமர்ந்தருளி நான்தான் / எண்ணுகின்ற படிஎல்லாம் அருள்கின்ற சிவமே / இலங்குநடத் தரசேஎன் இசையும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,M,silver-unverified; generic devotion (light/grace)
5,0.959,6,T237,004. பதி விளக்கம்,2,வண்ணமிகு பூதவெளி பகுதிவெளி முதலா / வகுக்குமடி வெளிகளெலாம் வயங்குவெளி யாகி / எண்ணமுறு மாமவுன வெளியாகி அதன்மேல் / இசைத்தபர வெளியாகி இயல்உபய வெளியாய் / அண்ணுறுசிற் பரவெளியாய்த் தற்பரமாம் வெளியாய் / அமர்ந்தபெரு வெளியாகி அருளின்ப வெளியாய்த் / திண்ணமுறும் தனிஇயற்கை உண்மைவெளி யான / திருச்சிற்றம் பலந்தனிலே தெய்வமொன்றே கண்டீர்.,https://www.thiruarutpa.org/thirumurai/v/T237/tm/pathi_vilakkam,A,"silver-unverified; layered spaces: element-space, aspect-space, silent space, supreme space"
6,0.959,4,T232,009. ஆளுடைய பிள்ளையார் அருண்மாலை,5,உள்ளதாய் விளங்கும் ஒருபெரு வெளிமேல் உள்ளதாய் முற்றும்உள் ளதுவாய் / நள்ளதாய் எனதாய் நானதாய்த் தளதாய் நவிற்றருந் தானதாய் இன்ன / விள்ளொணா அப்பால் அப்படிக் கப்பால் வெறுவெளி சிவஅனு பவம்என் / றுள்ளுற அளித்த ஞானசம் பந்த உத்தம சுத்தசற் குருவே.,https://www.thiruarutpa.org/thirumurai/v/T232/tm/aalutaiya_pillaiyaar_arunmaalai,M,silver-unverified; generic devotion (light/grace)
7,0.959,4,T224,001. அன்பு மாலை,28,அருள்நிறைந்த பெருந்தகையே ஆனந்த அமுதே / அற்புதப்பொன் அம்பலத்தே ஆடுகின்ற அரசே / தெருள்நிறைந்த சிந்தையிலே தித்திக்குந் தேனே / செங்கனியே மதிஅணிந்த செஞ்சடைஎம் பெருமான் / மருள்நிறைந்த மனக்கொடியேன் வஞ்சமெலாங் கண்டு / மகிழ்ந்தினிய வாழ்வளித்த மாகருணைக் கடலே / இருள்நிறைந்த மயக்கம்இன்னுந் தீர்த்தருளல் வேண்டும் / என்னுடைய நாயகனே இதுதருணங் காணே.,https://www.thiruarutpa.org/thirumurai/v/T224/tm/anpu_maalai,M,silver-unverified; generic devotion (light/grace)
8,0.959,1,T160,005. மகாதேவ மாலை,27,விண்ணேவிண் உருவேவிண் முதலே விண்ணுள் / வெளியேஅவ் வெளிவிளங்கு வெளியே என்றன் / கண்ணேகண் மணியேகண் ஒளியே கண்ணுட் / கலந்துநின்ற கதிரேஅக் கதிரின் வித்தே / தண்ணேதண் மதியேஅம் மதியில் பூத்த / தண்ணமுதே தண்ணமுத சார மேசொல் / பண்ணேபண் ணிசையேபண் மயமே பண்ணின் / பயனேமெய்த் தவர்வாழ்த்திப் பரவும் தேவே.,https://www.thiruarutpa.org/thirumurai/v/T160/tm/makaatheeva_maalai,A,silver-unverified; space within space; light and the seed of light
9,0.959,6,T292,037. அருள்விளக்க மாலை,27,பற்றுதலும் விடுதலும்உள் அடங்குதலும் மீட்டும் / படுதலொடு சுடுதலும்புண் படுத்தலும்இல் லாதே / உற்றொளிகொண் டோங்கிஎங்கும் தன்மயமாய் ஞான / உருவாகி உயிர்க்குயிராய் ஓங்குகின்ற நெருப்பே / சுற்றுதலும் தோன்றுதலும் மறைதலும்வெச் சென்றே / சுடுதலும்இல் லாதென்றும் துலங்குகின்ற சுடரே / முற்றும்உணர்ந் தவர்உளத்தே திருச்சிற்றம் பலத்தே / முயங்கும்நடத் தரசேஎன் மொழியும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,M,silver-unverified; generic devotion (light/grace)
10,0.959,1,T127,007. வடிவுடை மாணிக்க மாலை,48,வெளியாய் வெளிக்குள் வெறுவெளி யாய்ச்சிவ மேநிறைந்த / ஒளியாய் ஒளிக்குள் ஒளியாம் பரைநினை ஒப்பவரார் / எளியார்க் கெளியர் திருவொற்றி யார்மெய் இனிதுபரி / மளியாநின் றோங்கு மருவே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,A,"silver-unverified; space within space, void within space; light within light"
11,0.959,6,T250,028. அபயத் திறன்,2,வட்டவான் சுடரே வளரொளி விளக்கே / வயங்குசிற் சோதியே அடியேன் / இட்டமே இட்டத் தியைந்துளே கலந்த / இன்பமே என்பெரும் பொருளே / கட்டமே தவிர்த்திங் கென்னைவாழ் வித்த / கடவுளே கனகமன் றகத்தே / நட்டமே புரியும் பேரரு ளரசே / நம்பினேன் கைவிடேல் எனையே.,https://www.thiruarutpa.org/thirumurai/v/T250/tm/apayath_thiran,M,silver-unverified; generic devotion (light/grace)
12,0.959,6,T277,047. பேரானந்தப் பெருநிலை,8,அருள்வளர் திருச்சிற் றம்பலத் தோங்கும் / அரும்பெருஞ் சோதியே எனது / பொருள்வளர் அறிவுக் கறிவுதந் தென்னைப் / புறம்விடா தாண்டமெய்ப் பொருளே / மருவும்ஓர் நாத வெளிக்குமேல் வெளியில் / மகிழ்ந்தர சாள்கின்ற வாழ்வே / பருவரல் நீக்கி இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,M,silver-unverified; generic devotion (light/grace)
13,0.959,6,T272,094. அழிவுறா அருள்வடிவப் பேறு,10,கையின் நெல்லிபோல் விளங்குசிற் றம்பலங் கலந்தருள் பெருவாழ்வே / மெய்யி லேவிளைந் தோங்கிய போகமே மெய்ப்பெரும் பொருளேநான் / ஐய மற்றுரைத் திட்டவிண் ணப்பம்ஏற் றளித்தனை இஞ்ஞான்றே / செய்யும் இவ்வுடல் என்றுமிங் கழிவுறாச் சிவவடி வாமாறே.,https://www.thiruarutpa.org/thirumurai/v/T272/tm/azivuraa_arulvativap_peeru,M,silver-unverified; generic devotion (light/grace)
14,0.959,1,T150,008. இங்கித மாலை,59,ஒண்கை மழுவோ டனலுடையீ ரொற்றி நகர்வா ழுத்தமர்நீர் / வண்கை யொருமை நாதரென்றேன் வண்கைப் பன்மை நாதரென்றா / ரெண்கணடங்கா வதிசயங்கா ணென்றேன் பொருளன் றிவையதற்கென் / றெண்சொன் மணிதந் தருள்கின்றா ரிதுதான் சேடி யென்னேடீ.,https://www.thiruarutpa.org/thirumurai/v/T150/tm/ingkitha_maalai,M,silver-unverified; generic devotion (light/grace)
15,0.959,6,T292,037. அருள்விளக்க மாலை,8,கதிக்குவழி காட்டுகின்ற கண்ணேஎன் கண்ணில் / கலந்தமணி யேமணியில் கலந்தகதிர் ஒளியே / விதிக்கும்உல குயிர்க்குயிராய் விளங்குகின்ற சிவமே / மெய்யுணர்ந்தோர் கையகத்தே விளங்கியதீங் கனியே / மதிக்குமதிக் கப்புறம்போய் வயங்குதனி நிலையே / மறைமுடிஆ கமமுடிமேல் வயங்கும்இன்ப நிறைவே / துதிக்கும்அன்பர் தொழப்பொதுவில் நடம்புரியும் அரசே / சொன்மாலை சூட்டுகின்றேன் தோளில்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,M,silver-unverified; generic devotion (light/grace)
16,0.959,2,T105,053. பொருள் விண்ணப்பம்,3,ஊண்உ றக்கமே பொருள்என நினைத்த / ஒதிய னேன்மனம் ஒன்றிய தின்றாய்க் / காணு றக்கருங் காமஞ்சான் றதுகாண் / கடைய னேன்செயக் கடவதொன் றறியேன் / மாணு றக்களங் கறுத்தசெம் மணியே / வள்ள லேஎனை வாழ்விக்கும் மருந்தே / சேணு றத்தரும் ஒற்றிநா யகமே / செல்வ மேபர சிவபரம் பொருளே.,https://www.thiruarutpa.org/thirumurai/v/T105/tm/porul_vinnappam,M,silver-unverified; generic devotion (light/grace)
17,0.959,1,T127,007. வடிவுடை மாணிக்க மாலை,82,கல்லா ரிடத்தில்என் இல்லாமை சொல்லிக் கலங்கிஇடர் / நல்லாண்மை உண்டருள் வல்லாண்மை உண்டெனின் நல்குவையோ / வல்லார் எவர்கட்கும் வல்லார் திருவொற்றி வாணரொடு / மல்லார் பொழில்ஒற்றி வாழ்வே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,M,silver-unverified; generic devotion (light/grace)
18,0.958,2,T197,094. தனித் திருவிருத்தம்,30,வெள்ளங்கொண் டோங்கும் விரிசடை யாய்மிகு மேட்டினின்றும் / பள்ளங்கொண் டோங்கும் புனல்போல்நின் தண்ணருட் பண்புநல்லோர் / உள்ளங்கொண் டோங்கும் அவமே பருத்த ஒதிஅனையேன் / கள்ளங்கொண் டோங்கும் மனத்துறு மோஉறிற் காண்குவனே.,https://www.thiruarutpa.org/thirumurai/v/T197/tm/thanith_thiruviruththam,M,silver-unverified; generic devotion (light/grace)
19,0.958,6,T261,059. வேண்டுகோள்,3,விடையவா தனைதீர் விடையவா சுத்த வித்தைமுன் சிவவரை கடந்த / நடையவா ஞான நடையவா இன்ப நடம்புரிந் துயிர்க்கெலாம் உதவும் / கொடையவா ஓவாக் கொடையவா எனையாட் கொண்டெனுள் அமர்ந்தரு ளியஎன் / உடையவா எல்லாம் உடையவா உணர்ந்தோர்க் குரியவா பெரியவாழ் வருளே.,https://www.thiruarutpa.org/thirumurai/v/T261/tm/veentukool,M,silver-unverified; generic devotion (light/grace)
20,0.958,1,T160,005. மகாதேவ மாலை,15,உருவாகி உருவினில்உள் உருவ மாகி / உருவத்தில் உருவாகி உருவுள் ஒன்றாய் / அருவாகி அருவினில்உள் அருவ மாகி / அருவத்தில் அருவாகி அருவுள் ஒன்றாய்க் / குருவாகிச் சத்துவசிற் குணத்த தாகிக் / குணரகிதப் பொருளாகிக் குலவா நின்ற / மருவாகி மலராகி வல்லி யாகி / மகத்துவமாய் அணுத்துவமாய் வயங்குந் தேவே.,https://www.thiruarutpa.org/thirumurai/v/T160/tm/makaatheeva_maalai,A,silver-unverified; nested form within form / formless within formless
21,0.958,2,T113,010. பழமொழிமேல் வைத்துப் பரிவுகூர்தல்,7,முதல்இ லாமல்ஊ தியம்பெற விழையும் / மூடன் என்னநின் மொய்கழல் பதமேத் / துதல்இ லாதுநின் அருள்பெற விழைந்தேன் / துட்ட னேன்அருட் சுகம்பெறு வேனோ / நுதலில் ஆர்அழல் கண்ணுடை யவனே / நோக்கும் அன்பர்கள் தேக்கும்இன் அமுதே / சிதல்இ லாவளம் ஓங்கிஎந் நாளும் / திகழும் ஒற்றியூர்த் தியாகநா யகனே.,https://www.thiruarutpa.org/thirumurai/v/T113/tm/pazamozimeel_vaiththup_parivukuurthal,M,silver-unverified; generic devotion (light/grace)
22,0.958,6,T277,047. பேரானந்தப் பெருநிலை,3,துதிவளர் திருச்சிற் றம்பலத் தாடும் / சோதியுட் சோதியே எனது / மதிவளர் மருந்தே மந்திர மணியே / மன்னிய பெருங்குண மலையே / கதிதரு துரியத் தனிவெளி நடுவே / கலந்தர சாள்கின்ற களிப்பே / பதியுறும் உளத்தே இனித்திட எனக்கே / பழுத்தபே ரானந்தப் பழமே.,https://www.thiruarutpa.org/thirumurai/v/T277/tm/peeraananthap_perun-ilai,M,silver-unverified; generic devotion (light/grace)
23,0.958,1,T127,007. வடிவுடை மாணிக்க மாலை,36,மாநந்த மார்வயல் காழிக் கவுணியர் மாமணிக்கன் / றாநந்த இன்னமு தூற்றும் திருமுலை ஆரணங்கே / காநந்த வோங்கும் எழிலொற்றி யார்உட் களித்தியலும் / வாநந் தருமிடை மானே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,M,silver-unverified; generic devotion (light/grace)
24,0.958,5,T21,023. ஏழைமையின் இரங்கல்,4,உய்வண்ணம் இன்றி உலகா தரத்தில் உழல்கின்ற மாய மடவார் / பொய்வண்ணம் ஒன்றின் மனமாழ்கி அன்மை புரிதந்து நின்ற புலையேன் / மெய்வண்ணம் ஒன்று தணிகா சலத்து மிளிர்கின்ற தேவ விறல்வேல் / கைவண்ண உன்றன் அருள்வண்ணம் ஆன கழல்வண்ணம் நண்ணல் உளதோ.,https://www.thiruarutpa.org/thirumurai/v/T21/tm/eezaimaiyin_irangkal,M,silver-unverified; generic devotion (light/grace)
25,0.958,6,T360,110. தனித் திருஅலங்கல்,84,ஒன்றுமுன் எண்பால் எண்ணிடக் கிடைத்த / வுவைக்குமேற் றனைஅருள் ஒளியால் / நன்றுகண் டாங்கே அருட்பெருஞ் சோதி / நாதனைக் கண்டவன் நடிக்கும் / மன்றுகண் டதனில் சித்தெலாம் வல்ல / மருந்துகண் டுற்றது வடிவாய் / நின்றுகொண் டாடுந் தருணம்இங் கிதுவே / நெஞ்சமே அஞ்சலை நீயே.,https://www.thiruarutpa.org/thirumurai/v/T360/tm/thanith_thirualangkal,M,silver-unverified; generic devotion (light/grace)
26,0.958,1,T161,006. திருவருண் முறையீடு,219,அருள்அர சேஅருட் குன்றேமன் றாடும் அருளிறையே / அருள்அமு தேஅருட் பேறே நிறைந்த அருட்கடலே / அருள்அணி யேஅருட் கண்ணேவிண் ணோங்கும் அருள்ஒளியே / அருள்அற மேஅருட் பண்பேமுக் கண்கொள் அருட்சிவமே.,https://www.thiruarutpa.org/thirumurai/v/T161/tm/thiruvarun_muraiyiitu,M,silver-unverified; generic devotion (light/grace)
27,0.958,6,T272,094. அழிவுறா அருள்வடிவப் பேறு,5,இலங்கு கின்றசிற் றம்பலத் தருள்நடம் இடுகின்ற பெருவாழ்வே / துலங்கு பேரருட் சோதியே சோதியுள் துலங்கிய பொருளேஎன் / புலங்கொள் விண்ணப்பம் திருச்செவிக் கேற்றருள் புரிந்தனை இஞ்ஞான்றே / அலங்கும் இவ்வுடல் எற்றையும் அழிவுறா அருள்வடி வாமாறே.,https://www.thiruarutpa.org/thirumurai/v/T272/tm/azivuraa_arulvativap_peeru,M,silver-unverified; generic devotion (light/grace)
