rank,sim,volume,section_id,section_title,stanza_no,text,source_url,label,notes
1,0.961,6,T292,037. அருள்விளக்க மாலை,36,விளங்குபர சத்திகளின் பரமாதி அவற்றுள் / விரிந்தநிலை யாதிஎலாம் விளங்கிஒளி வழங்கிக் / களங்கமிலாப் பரவெளியில் அந்தம்முதல் நடுத்தான் / காட்டாதே நிறைந்தெங்கும் கலந்திடும்பே ரொளியே / உளங்குலவு பரசத்தி உலகமண்ட முழுதும் / ஒளிவிளங்கச் சுடர்பரப்பி ஓங்குதனிச் சுடரே / வளங்குலவு திருப்பொதுவில் மாநடஞ்செய் அரசே / மகிழ்ந்தெனது சொல்எனும்ஓர் மாலைஅணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,
2,0.960,2,T58,068. அச்சத் திரங்கல்,3,பொருள்எலாம் புணர்க்கும் புண்ணியப் பொருளே / புத்தமு தேகுணப் பொருப்பே / இருள்எலாம் அறுக்கும் பேரொளிப் பிழம்பே / இன்பமே என்பெருந் துணையே / அருள்எலாம் திரண்ட ஒருசிவ மூர்த்தி / அண்ணலே நின்அடிக் கபயம் / மருள்எலாம் கொண்ட மனத்தினேன் துன்ப / மயக்கெலாம் மாற்றிஆண் டருளே.,https://www.thiruarutpa.org/thirumurai/v/T58/tm/assath_thirangkal,,
3,0.960,1,T160,005. மகாதேவ மாலை,37,அளவையெலாங் கடந்துமனங் கடந்து மற்றை / அறிவையெலாங் கடந்துகடந் தமல யோகர் / உளவையெலாங் கடந்துபதங் கடந்து மேலை / ஒன்றுகடந் திரண்டுகடந் துணரச் சூழ்ந்த / களவையெலாங் கடந்தண்ட பிண்ட மெல்லாம் / கடந்துநிறை வானசுகக் கடலே அன்பர் / வளவையெலாம் இருளகற்றும் ஒளியே மோன / வாழ்வேஎன் உயிர்க்குயிராய் வதியும் தேவே.,https://www.thiruarutpa.org/thirumurai/v/T160/tm/makaatheeva_maalai,,
4,0.960,6,T292,037. அருள்விளக்க மாலை,83,உண்ணுகின்ற ஊண்வெறுத்து வற்றியும்புற் றெழுந்தும் / ஒருகோடிப் பெருந்தலைவர் ஆங்காங்கே வருந்திப் / பண்ணுகின்ற பெருந்தவத்தும் கிடைப்பரிதாய்ச் சிறிய / பயல்களினும் சிறியேற்குக் கிடைத்தபெரும் பதியே / நண்ணுகின்ற பெருங்கருணை அமுதளித்தென் உளத்தே / நானாகித் தானாகி அமர்ந்தருளி நான்தான் / எண்ணுகின்ற படிஎல்லாம் அருள்கின்ற சிவமே / இலங்குநடத் தரசேஎன் இசையும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,
5,0.959,6,T237,004. பதி விளக்கம்,2,வண்ணமிகு பூதவெளி பகுதிவெளி முதலா / வகுக்குமடி வெளிகளெலாம் வயங்குவெளி யாகி / எண்ணமுறு மாமவுன வெளியாகி அதன்மேல் / இசைத்தபர வெளியாகி இயல்உபய வெளியாய் / அண்ணுறுசிற் பரவெளியாய்த் தற்பரமாம் வெளியாய் / அமர்ந்தபெரு வெளியாகி அருளின்ப வெளியாய்த் / திண்ணமுறும் தனிஇயற்கை உண்மைவெளி யான / திருச்சிற்றம் பலந்தனிலே தெய்வமொன்றே கண்டீர்.,https://www.thiruarutpa.org/thirumurai/v/T237/tm/pathi_vilakkam,,
6,0.959,4,T232,009. ஆளுடைய பிள்ளையார் அருண்மாலை,5,உள்ளதாய் விளங்கும் ஒருபெரு வெளிமேல் உள்ளதாய் முற்றும்உள் ளதுவாய் / நள்ளதாய் எனதாய் நானதாய்த் தளதாய் நவிற்றருந் தானதாய் இன்ன / விள்ளொணா அப்பால் அப்படிக் கப்பால் வெறுவெளி சிவஅனு பவம்என் / றுள்ளுற அளித்த ஞானசம் பந்த உத்தம சுத்தசற் குருவே.,https://www.thiruarutpa.org/thirumurai/v/T232/tm/aalutaiya_pillaiyaar_arunmaalai,,
7,0.959,4,T224,001. அன்பு மாலை,28,அருள்நிறைந்த பெருந்தகையே ஆனந்த அமுதே / அற்புதப்பொன் அம்பலத்தே ஆடுகின்ற அரசே / தெருள்நிறைந்த சிந்தையிலே தித்திக்குந் தேனே / செங்கனியே மதிஅணிந்த செஞ்சடைஎம் பெருமான் / மருள்நிறைந்த மனக்கொடியேன் வஞ்சமெலாங் கண்டு / மகிழ்ந்தினிய வாழ்வளித்த மாகருணைக் கடலே / இருள்நிறைந்த மயக்கம்இன்னுந் தீர்த்தருளல் வேண்டும் / என்னுடைய நாயகனே இதுதருணங் காணே.,https://www.thiruarutpa.org/thirumurai/v/T224/tm/anpu_maalai,,
8,0.959,1,T160,005. மகாதேவ மாலை,27,விண்ணேவிண் உருவேவிண் முதலே விண்ணுள் / வெளியேஅவ் வெளிவிளங்கு வெளியே என்றன் / கண்ணேகண் மணியேகண் ஒளியே கண்ணுட் / கலந்துநின்ற கதிரேஅக் கதிரின் வித்தே / தண்ணேதண் மதியேஅம் மதியில் பூத்த / தண்ணமுதே தண்ணமுத சார மேசொல் / பண்ணேபண் ணிசையேபண் மயமே பண்ணின் / பயனேமெய்த் தவர்வாழ்த்திப் பரவும் தேவே.,https://www.thiruarutpa.org/thirumurai/v/T160/tm/makaatheeva_maalai,,
9,0.959,6,T292,037. அருள்விளக்க மாலை,27,பற்றுதலும் விடுதலும்உள் அடங்குதலும் மீட்டும் / படுதலொடு சுடுதலும்புண் படுத்தலும்இல் லாதே / உற்றொளிகொண் டோங்கிஎங்கும் தன்மயமாய் ஞான / உருவாகி உயிர்க்குயிராய் ஓங்குகின்ற நெருப்பே / சுற்றுதலும் தோன்றுதலும் மறைதலும்வெச் சென்றே / சுடுதலும்இல் லாதென்றும் துலங்குகின்ற சுடரே / முற்றும்உணர்ந் தவர்உளத்தே திருச்சிற்றம் பலத்தே / முயங்கும்நடத் தரசேஎன் மொழியும்அணிந் தருளே.,https://www.thiruarutpa.org/thirumurai/v/T292/tm/arulvilakka_maalai,,
10,0.959,1,T127,007. வடிவுடை மாணிக்க மாலை,48,வெளியாய் வெளிக்குள் வெறுவெளி யாய்ச்சிவ மேநிறைந்த / ஒளியாய் ஒளிக்குள் ஒளியாம் பரைநினை ஒப்பவரார் / எளியார்க் கெளியர் திருவொற்றி யார்மெய் இனிதுபரி / மளியாநின் றோங்கு மருவே வடிவுடை மாணிக்கமே.,https://www.thiruarutpa.org/thirumurai/v/T127/tm/vativutai_maanikka_maalai,,
