volume,section_id,section_title,stanza_no,categories,strong_terms,weak_terms,text,source_url,label,science_concept,notes
1,T158,003. நெஞ்சறிவுறுத்தல்,30,space_elements,space_elements:பரவெளி,light_generic:ஒளி,வெளியாய்ப் பரவெளியாய் மேவுபர விந்தின் / ஒளியாய்ச் சிவானந்த ஊற்றாய்த் - தெளியாதி,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,,,
1,T158,003. நெஞ்சறிவுறுத்தல்,683,space_elements,space_elements:பரவெளி,,றப்பால் அருள்கண் டருளால் தமைத்தாம்கண் / டப்பால் பரவெளிகண் டப்பாலுக் - கப்பாலும்,https://www.thiruarutpa.org/thirumurai/v/T158/tm/n-enjsarivuruththal,,,
4,T224,001. அன்பு மாலை,5,space_elements,space_elements:துரியவெளி,light_generic:சோதி,துப்பாடு திருமேனிச் சோதிமணிச் சுடரே / துரியவெளிக் குள்ளிருந்த சுத்தசிவ வெளியே / அப்பாடு சடைமுடிஎம் ஆனந்த மலையே / அருட்கடலே குருவேஎன் ஆண்டவனே அரசே / இப்பாடு படஎனக்கு முடியாது துரையே / இரங்கிஅருள் செயல்வேண்டும் இதுதருணங் கண்டாய் / தப்பாடு வேன்எனினும் என்னைவிடத் துணியேல் / தனிமன்றுள் நடம்புரியுந் தாண்மலர்எந் தாயே.,https://www.thiruarutpa.org/thirumurai/v/T224/tm/anpu_maalai,,,
4,T225,002. அருட்பிரகாச மாலை,19,space_elements,space_elements:துரியவெளி,,துரியவெளி தனிற்பரம நாதஅணை நடுவே / சுயஞ்சுடரில் துலங்குகின்ற துணையடிகள் வருந்தப் / பிரியமொடு நடந்தெளியேன் இருக்குமிடந் தேடிப் / பெருங்கதவந் திறப்பித்துப் பேயன்எனை அழைத்து / உரியபொருள் ஒன்றெனது கையில்அளித் திங்கே / உறைகமகிழ்ந் தெனஉரைத்த உத்தமநின் னருளைப் / பெரியபொரு னெவற்றினுக்கும் பெரியபொரு ளென்றே / பின்னர்அறிந் தேன்இதற்கு முன்னர்அறி யேனே.,https://www.thiruarutpa.org/thirumurai/v/T225/tm/arutpirakaasa_maalai,,,
4,T225,002. அருட்பிரகாச மாலை,32,space_elements,space_elements:துரியவெளி,,வேதாந்த சித்தாந்தம் என்னும்அந்தம் இரண்டும் / விளங்கஅமர்ந் தருளியநின் மெல்லடிகள் வருந்த / நாதாந்த வெளிதனிலே நடந்தருளும் அதுபோல் / நடந்தருளிக் கடைநாயேன் நண்ணும்இடத் தடைந்து / போதாந்த மிசைவிளக்குந் திருமேனி காட்டிப் / புலையேன்கை யிடத்தொன்று பொருந்தவைத்த பொருளே / சூதாந்த மனைத்தினுக்கும் அப்பாற்பட் டிருந்த / துரியவெளிக் கேவிளங்கும் பெரியஅருட் குருவே.,https://www.thiruarutpa.org/thirumurai/v/T225/tm/arutpirakaasa_maalai,,,
4,T225,002. அருட்பிரகாச மாலை,89,space_elements,space_elements:பூதவெளி,,பூதவெளி கரணவெளி பகுதிவெளி மாயா / போகவெளி மாமாயா யோகவெளி புகலும் / வேதவெளி அபரவிந்து வெளிஅபர நாத / வெளிஏக வெளிபரம வெளிஞான வெளிமா / நாதவெளி சுத்தவெறு வெளிவெட்ட வெளியா / நலில்கின்ற வெளிகளலாம் நடிக்கும்அடி வருந்த / ஏதஎளி யேன்பொருட்டா நடந்தென்பால் அடைந்தே / என்கையின்ஒன் றளித்தனைநின் இரக்கம்எவர்க் குளதே.,https://www.thiruarutpa.org/thirumurai/v/T225/tm/arutpirakaasa_maalai,,,
4,T231,008. அபராத மன்னிப்பு மாலை,10,space_elements,space_elements:துரியவெளி,,ஒல்லும்வகை அறியாதே உன்னருளோ டூடி / ஊறுபுகன் றேன்துயரம் ஆறும்வகை உணரேன் / புல்லியனேன் புகன்றபிழை பொறுத்தருளல் வேண்டும் / பூதியணிந் தொளிர்கின்ற பொன்மேனிப் பெருமான் / சொல்லியலும் பொருளியலும் கடந்தபர நாதத் / துரியவெளிப் பொருளான பெரியநிலைப் பதியே / மெல்லியல்நற் சிவகாம வல்லிகண்டு மகிழ / விரியுமறை ஏத்தநடம் புரியும்அருள் இறையே.,https://www.thiruarutpa.org/thirumurai/v/T231/tm/aparaatha_mannippu_maalai,,,
5,T44,046. செல்வச் சீர்த்தி மாலை,9,space_elements,space_elements:பரவெளி,,ஏதம் நிறுத்தும் இவ்வுலகத் தியல்பின் வாழ்க்கை யிடத்தெளியேன் / எண்ணி அடங்காப் பெருந்துயர்கொண் டெந்தாய் அந்தோ இளைக்கின்றேன் / வேதம் நிறுத்தும் நின்கமல மென்தாள் துணையே துணைஅல்லால் / வேறொன் றறியேன் அஃதறிந்திவ் வினையேற் கருள வேண்டாவோ / போத நிறுத்தும் சற்குருவே புனித ஞானத் தறிவுருவே / பொய்யர் அறியாப் பரவெளியே புரம்மூன் றெரித்தோன் தரும்ஒளியே / சாதல் நிறுத்தும் அவருள்ளத் தலம்தாள் நிறுத்தும் தயாநிதியே / தணிகா சலமாம் தலத்தமர்ந்த சைவ மணியே சண்முகனே.,https://www.thiruarutpa.org/thirumurai/v/T44/tm/selvas_siirththi_maalai,,,
5,T168,067. பழமலைப் பதிகம்,6,space_elements,space_elements:துரியவெளி,,துனியும் பிறவித் தொடுவழக்குஞ் சோர்ந்து விடவுந் துரியவெளிக் / கினியும் பருக்குங் கிடையாத இன்பம் அடைந்தே இருந்திடவும் / பனியுந் திமய மலைப்பச்சைப் படர்ந்த பவளப் பருப்பதத்தைக் / கனியுஞ் சிலையுங் கலந்தஇடம்160 எங்கே அங்கே கண்டேனே.,https://www.thiruarutpa.org/thirumurai/v/T168/tm/pazamalaip_pathikam,,,
5,T170,069. பெரியநாயகியார் தோத்திரம்,3,space_elements,space_elements:பரவெளி,,தன்னேர் அறியாப் பரவெளியில் சத்தாம் சுத்த அநுபவத்தைச் / சார்ந்து நின்ற பெரியவர்க்கும் தாயே எமக்குத் தனித்தாயே / மின்னே மின்னேர் இடைப்பிடியே விளங்கும் இதய மலர்அனமே / வேதம் புகலும் பசுங்கிளியே விமலக் குயிலே இளமயிலே / பொன்னே எல்லாம் வல்லதிரி புரையே பரையே பூரணமே / புனித மான புண்ணியமே பொற்பே கற்ப கப்பூவே / அன்னே முன்னே என்னேயத் தமர்ந்த அதிகை அருட்சிவையே / அரிய பெரிய நாயகிப்பெண் ணரசே என்னை ஆண்டருளே.,https://www.thiruarutpa.org/thirumurai/v/T170/tm/periyan-aayakiyaar_thooththiram,,,
