number,chapter,categories,strong_terms,weak_terms_in_verse,commentary_only_terms,n_categories,tamil,translation,explanation,commentary_mv,commentary_mk,label,science_concept,notes
1,1,cosmos_origin,"cosmos_origin:ஆதி*,பகவன்*,primal",direction_earth:உலகு*,direction_earth:உலகம் ; cosmos_origin:உயிர்,1,அகர முதல எழுத்தெல்லாம் ஆதி / பகவன் முதற்றே உலகு.,'A' leads letters; the Ancient Lord Leads and lords the entire world,"As the letter A is the first of all letters, so the eternal God is first in the world",எழுத்துக்கள் எல்லாம் அகரத்தை அடிப்படையாக கொண்டிருக்கின்றன. அதுபோல உலகம் கடவுளை அடிப்படையாக கொண்டிருக்கிறது.,"அகரம் எழுத்துக்களுக்கு முதன்மை; ஆதிபகவன், உலகில் வாழும் உயிர்களுக்கு முதன்மை",,,
3,1,direction_earth,direction_earth:earth,,,1,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் / நிலமிசை நீடுவாழ் வார்.,Long they live on earth who gain The feet of God in florid brain,"They who are united to the glorious feet of Him who passes swiftly over the flower of the mind, shall flourish long above all worlds","அன்பரின் அகமாகிய மலரில் வீற்றிருக்கும் கடவுளின் சிறந்த திருவடிகளை பொருந்தி நினைக்கின்றவர், இன்ப உலகில் நிலைத்து வாழ்வார்","மலர் போன்ற மனத்தில் நிறைந்தவனைப் பின்பற்றுவோரின் புகழ்வாழ்வு, உலகில் நெடுங்காலம் நிலைத்து நிற்கும்",,,
5,1,time_season|cosmos_origin,time_season:night ; cosmos_origin:இறை*,,light_fire:தீ,2,இருள்சேர் இருவினையும் சேரா இறைவன் / பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,"God's praise who tell, are free from right And wrong, the twins of dreaming night",The two-fold deeds that spring from darkness shall not adhere to those who delight in the true praise of God,கடவுளின் உண்மைப் புகழை விரும்பி அன்பு செலுத்துகின்றவரிடம் அறியாமையால் விளையும் இருவகை வினையும் சேர்வதில்லை,"இறைவன் என்பதற்குரிய பொருளைப் புரிந்து கொண்டு புகழ் பெற விரும்புகிறவர்கள், நன்மை தீமைகளை ஒரே அளவில் எதிர் கொள்வார்கள்",,,
8,1,rain_water,rain_water:sea,,rain_water:கடல்,1,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் / பிறவாழி நீந்தல் அரிது.,Who swims the sea of vice is he Who clasps the feet of Virtue's sea,"None can swim the sea of vice, but those who are united to the feet of that gracious Being who is a sea of virtue","அறக்கடலாக விளங்கும் கடவுளின் திருவடிகளைப் பொருந்தி நினைக்கின்றவர் அல்லாமல், மற்றவர் பொருளும் இன்பமுமாகிய மற்ற கடல்களைக் கடக்க முடியாது","அந்தணர் என்பதற்குப் பொருள் சான்றோர் என்பதால், அறக்கடலாகவே விளங்கும் அந்தச் சான்றோரின் அடியொற்றி நடப்பவர்க்கேயன்றி, மற்றவர்களுக்குப் பிற துன்பக் கடல்களைக் கடப்பது என்பது எளிதான காரியமல்ல",,,
10,1,rain_water|cosmos_origin,rain_water:sea ; cosmos_origin:இறை*,,,2,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் / இறைவன் அடிசேரா தார்.,The sea of births they alone swim Who clench His feet and cleave to Him,None can swim the great sea of births but those who are united to the feet of God,இறைவனுடைய திருவடிகளை பொருந்தி நினைக்கின்றவர் பிறவியாகிய பெரிய கடலைக் கடக்க முடியும். மற்றவர் கடக்க முடியாது,"வாழ்க்கை எனும் பெருங்கடலை நீந்திக் கடக்க முனைவோர், தலையானவனாக இருப்பவனின் அடி தொடர்ந்து செல்லாவிடில் நீந்த முடியாமல் தவிக்க நேரிடும்",,,
11,2,rain_water,rain_water:rain,sky_stars:வான்* ; direction_earth:உலகம்*,rain_water:மழை ; cosmos_origin:உயிர்,1,வான்நின்று உலகம் வழங்கி வருதலால் / தான்அமிழ்தம் என்றுணரற் பாற்று.,The genial rain ambrosia call: The world but lasts while rain shall fall,By the continuance of rain the world is preserved in existence; it is therefore worthy to be called ambrosia,"மழை பெய்ய உலகம் வாழ்ந்து வருவதால், மழையானது உலகத்து வாழும் உயிர்களுக்கு அமிழ்தம் என்று உணரத்தக்கதாகும்",உலகத்தை வாழ வைப்பது மழையாக அமைந்திருப்பதால் அதுவே அமிழ்தம் எனப்படுகிறது,,,
12,2,rain_water,"rain_water:மழை*,rain",,,1,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் / துப்பாய தூஉம் மழை.,The rain begets the food we eat,"Rain produces good food, and is itself food","உண்பவர்க்குத் தக்க உணவுப் பொருள்களை விளைவித்துத் தருவதோடு, பருகுவோர்க்குத் தானும் ஓர் உணவாக இருப்பது மழையாகும்","யாருக்கு உணவுப் பொருள்களை விளைவித்துத்தர மழை பயன்படுகிறதோ, அவர்களுக்கே அந்த மழை அவர்கள் அருந்தும் உணவாகவும் ஆகி அரிய தியாகத்தைச் செய்கிறது",,,
13,2,sky_stars|rain_water|direction_earth,"sky_stars:விண்*,sky ; rain_water:rain,clouds?,ocean,sea ; direction_earth:earth",,"rain_water:மழை,கடல் ; cosmos_origin:உயிர்",3,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து / உள்நின்று உடற்றும் பசி.,"Let clouds their visits stay, and dearth Distresses all the sea-girt earth","If the cloud, withholding rain, deceive (our hopes) hunger will long distress the sea-girt spacious world","மழை பெய்யாமல் பொய்படுமானால், கடல் சூழ்ந்த அகன்ற உலகமாக இருந்தும் பசி உள்ளே நிலைத்து நின்று உயிர்களை வருத்தும்","கடல்நீர் சூழ்ந்த உலகமாயினும், மழைநீர் பொய்த்து விட்டால் பசியின் கொடுமை வாட்டி வதைக்கும்",,,
14,2,rain_water|direction_earth,"rain_water:rain,clouds? ; direction_earth:earth",,rain_water:மழை,2,ஏரின் உழாஅர் உழவர் புயல்என்னும் / வாரி வளங்குன்றிக் கால்.,"Unless the fruitful shower descend, The ploughman's sacred toil must end","If the abundance of wealth imparting rain diminish, the labour of the plough must cease","மழை என்னும் வருவாய் வளம் குன்றி விட்டால், ( உணவுப் பொருள்களை உண்டாக்கும்) உழவரும் ஏர் கொண்டு உழமாட்டார்","மழை என்னும் வருவாய் வளம் குன்றிவிட்டால், உழவுத் தொழில் குன்றி விடும்",,,
15,2,rain_water,"rain_water:மழை*,rain",,cosmos_origin:உயிர்,1,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே / எடுப்பதூஉம் எல்லாம் மழை.,Destruction it may sometimes pour But only rain can life restore,Rain by its absence ruins men; and by its existence restores them to fortune,பெய்யாமல் வாழ்வைக் கெடுக்க வல்லதும் மழை; மழையில்லாமல் வளம் கெட்டு நொந்தவர்க்கும் துணையாய் அவ்வாறே காக்க வல்லதும் மழையாகும்,"பெய்யாமல் விடுத்து உயிர்களின் வாழ்வைக் கெடுக்கக் கூடியதும், பெய்வதன் காரணமாக உயிர்களின் நலிந்த வாழ்வுக்கு வளம் சேர்ப்பதும் மழையே ஆகும்",,,
